	Match	Coverage	Identity	E-val	Entry	Protein names	Gene	Length	ExpAA	First60	PredHel	Topology
lcl|NC_007205.1_prot_WP_011281686.1_404	WP_001114543	1.0	0.37630662020905925	9.48444e-58	P05523	Formamidopyrimidine-DNA glycosylase (Fapy-DNA glycosylase) (EC 3.2.2.23) (DNA-(apurinic or apyrimidinic site) lyase MutM) (AP lyase MutM) (EC 4.2.99.18)	mutM	287	0.35	0.01	0	o
lcl|NC_007205.1_prot_WP_011281689.1_407	WP_000673464	0.9972972972972973	0.3089430894308943	1.56452e-66	P0A988	DNA polymerase III subunit beta (EC 2.7.7.7) (Beta sliding clamp) (Beta clamp)	dnaN	370	0.02	0.02	0	o
lcl|NC_007205.1_prot_WP_011281690.1_408	WP_000965722	0.6137339055793991	0.2867132867132867	1.75432e-08	P26647	1-acyl-sn-glycerol-3-phosphate acyltransferase (1-AGP acyltransferase) (1-AGPAT) (EC 2.3.1.51) (EC 2.3.1.n4) (Lysophosphatidic acid acyltransferase) (LPAAT) (Phosphatidic acid synthase) (PA synthase)	plsC	233	53.84	41.76	2	i7-29o39-58i
lcl|NC_007205.1_prot_WP_011281691.1_409	WP_001120711	0.9752475247524752	0.3020304568527919	1.59346e-52	P00861	Diaminopimelate decarboxylase (DAP decarboxylase) (DAPDC) (EC 4.1.1.20)	lysA	404	0.93	0.06	0	o
lcl|NC_007205.1_prot_WP_011281693.1_410	WP_001230087	0.9718614718614719	0.36525612472160357	6.97097e-110	P11447	Argininosuccinate lyase (ASAL) (EC 4.3.2.1) (Arginosuccinase)	argH	462	1.13	0.0	0	o
lcl|NC_007205.1_prot_WP_011281701.1_424	WP_000531952	0.9949367088607595	0.3256997455470738	1.94163e-50	P76503	3-ketoacyl-CoA thiolase (EC 2.3.1.16) (ACSs) (Acetyl-CoA acyltransferase) (Acyl-CoA ligase) (Beta-ketothiolase) (Fatty acid oxidation complex subunit beta)	fadI	395	0.86	0.0	0	o
lcl|NC_007205.1_prot_WP_011281702.1_425	WP_000003820	0.8695652173913043	0.5670454545454545	0.0	P0AFG8	Pyruvate dehydrogenase E1 component (PDH E1 component) (EC 1.2.4.1)	aceE	1012	0.07	0.0	0	o
lcl|NC_007205.1_prot_WP_011281703.1_426	WP_000099823	0.9763593380614657	0.288135593220339	1.02628e-44	P0AFG6	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex (EC 2.3.1.61) (2-oxoglutarate dehydrogenase complex component E2) (OGDC-E2) (Dihydrolipoamide succinyltransferase component of 2-oxoglutarate dehydrogenase complex)	sucB	423	8.7	0.0	0	o
lcl|NC_007205.1_prot_WP_011281704.1_427	WP_000171710	0.10847457627118644	0.4375	7.71489	P0AG34	Homoserine/homoserine lactone efflux protein	rhtB	295	206.19	38.99	10	i5-23o38-55i71-93o98-120i127-149o153-175i180-202o217-236i243-265o270-292i
lcl|NC_007205.1_prot_WP_011281705.1_428	WP_001281927	0.9609375	0.3333333333333333	4.20163e-31	P60932	Undecaprenyl-diphosphatase (EC 3.6.1.27) (Bacitracin resistance protein) (Undecaprenyl pyrophosphate phosphatase)	uppP	256	154.27	34.28	8	i5-27o42-61i74-92o107-121i141-163o178-195i202-224o234-255i
lcl|NC_007205.1_prot_WP_011281706.1_429	WP_000081674	0.9812108559498957	0.4595744680851064	4.41065e-142	P09832	Glutamate synthase [NADPH] small chain (EC 1.4.1.13) (Glutamate synthase subunit beta) (GLTS beta chain) (NADPH-GOGAT)	gltD	479	0.07	0.0	0	o
lcl|NC_007205.1_prot_WP_011281707.1_430	WP_001300352	0.9766822118587608	0.4536152796725784	0.0	P09831	Glutamate synthase [NADPH] large chain (EC 1.4.1.13) (Glutamate synthase subunit alpha) (GLTS alpha chain) (NADPH-GOGAT)	gltB	1501	0.65	0.0	0	o
lcl|NC_007205.1_prot_WP_011281708.1_431	WP_000754737	0.738831615120275	0.24651162790697675	2.44713e-10	P0AD12	Protein YeeZ	yeeZ	291	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_011281711.1_434	WP_001144202	0.9827586206896551	0.48484848484848486	0.0	P0A8M3	Threonine--tRNA ligase (EC 6.1.1.3) (Threonyl-tRNA synthetase) (ThrRS)	thrS	638	0.02	0.0	0	o
lcl|NC_007205.1_prot_WP_011281712.1_439	WP_000672380	0.9987531172069826	0.3295880149812734	1.6111e-139	P07395	Phenylalanine--tRNA ligase beta subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase beta subunit) (PheRS)	pheT	802	0.01	0.0	0	o
lcl|NC_007205.1_prot_WP_011281713.1_440	WP_000790168	0.9900332225913622	0.5704697986577181	0.0	P60785	Elongation factor 4 (EF-4) (EC 3.6.5.n1) (Ribosomal back-translocase LepA)	lepA	602	0.08	0.0	0	o
lcl|NC_007205.1_prot_WP_011281715.1_442	WP_000072067	0.9941605839416059	0.5507745266781411	0.0	P0AES6	DNA gyrase subunit B (EC 5.99.1.3)	gyrB	685	0.01	0.0	0	o
lcl|NC_007205.1_prot_WP_011281716.1_443	WP_000580417	0.5046948356807511	0.2372093023255814	3.18492e-10	P0AE82	Sensor protein CpxA (EC 2.7.13.3)	cpxA	426	112.93	37.37	5	o20-39i46-65o85-107i120-139o154-176i
lcl|NC_007205.1_prot_WP_011281719.1_447	WP_001281881	0.8	0.3157894736842105	0.889505	P0AFI2	DNA topoisomerase 4 subunit A (EC 5.99.1.3) (Topoisomerase IV subunit A)	parC	95	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_011281720.1_448	WP_000439848	0.9266304347826086	0.33724340175953077	3.9935e-65	P07639	3-dehydroquinate synthase (EC 4.2.3.4)	aroB	368	0.53	0.0	0	o
lcl|NC_007205.1_prot_WP_011281721.1_449	WP_000818618	0.9647058823529412	0.29878048780487804	1.2949e-20	P0A6D7	Shikimate kinase 1 (SK 1) (EC 2.7.1.71) (Shikimate kinase I) (SKI)	aroK	170	1.19	1.18	0	o
lcl|NC_007205.1_prot_WP_011281724.1_451	WP_000114984	0.9593023255813954	0.49696969696969695	6.7034e-48	P0A6K3	Peptide deformylase (PDF) (EC 3.5.1.88) (Polypeptide deformylase)	def	172	8.25	8.18	0	o
lcl|NC_007205.1_prot_WP_011281725.1_452	WP_000004473	0.9451612903225807	0.32081911262798635	8.40302e-51	P23882	Methionyl-tRNA formyltransferase (EC 2.1.2.9)	fmt	310	0.33	0.31	0	o
lcl|NC_007205.1_prot_WP_011281726.1_453	WP_001283586	1.0	0.3170731707317073	3.29311e-43	P07649	tRNA pseudouridine synthase A (EC 5.4.99.12) (tRNA pseudouridine(38-40) synthase) (tRNA pseudouridylate synthase I) (PSU-I) (tRNA-uridine isomerase I)	truA	246	0.01	0.01	0	o
lcl|NC_007205.1_prot_WP_011281729.1_457	WP_001277801	0.9791666666666666	0.40425531914893614	2.0208e-99	P0AED7	Succinyl-diaminopimelate desuccinylase (SDAP desuccinylase) (EC 3.5.1.18) (N-succinyl-LL-2,6-diaminoheptanedioate amidohydrolase)	dapE	384	0.05	0.04	0	o
lcl|NC_007205.1_prot_WP_011281730.1_459	WP_000985494	0.3452914798206278	0.2857142857142857	4.11881	P14175	Glycine betaine/L-proline transport ATP-binding protein ProV	proV	223	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_011281732.1_461	WP_000378250	0.8476702508960573	0.32346723044397463	3.87194e-66	P25714	Membrane protein insertase YidC (Foldase YidC) (Inner membrane protein YidC) (Membrane integrase YidC) (Oxa1Ec)	yidC	558	123.74	19.27	6	i7-24o326-348i355-377o420-442i480-497o512-534i
lcl|NC_007205.1_prot_WP_011281734.1_465	WP_000077805	0.07531380753138076	0.5	3.98713	P11454	Enterobactin synthase component F (EC 2.7.7.-) (Enterochelin synthase F) (Serine-activating enzyme) (Seryl-AMP ligase)	entF	239	136.36	24.26	6	i9-28o56-78i91-113o144-166i171-193o215-237i
lcl|NC_007205.1_prot_WP_011281735.1_468	WP_000357259	0.9976019184652278	0.46875	3.98568e-128	P0A749	UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7) (Enoylpyruvate transferase) (UDP-N-acetylglucosamine enolpyruvyl transferase) (EPT)	murA	417	1.73	0.01	0	o
lcl|NC_007205.1_prot_WP_011281737.1_470	WP_000009594	0.9182242990654206	0.3638676844783715	2.89051e-85	P06988	Histidinol dehydrogenase (HDH) (EC 1.1.1.23)	hisD	428	0.47	0.0	0	o
lcl|NC_007205.1_prot_WP_011281739.1_474	WP_001107167	0.14857142857142858	0.4230769230769231	4.95428e-05	P60906	Histidine--tRNA ligase (EC 6.1.1.21) (Histidyl-tRNA synthetase) (HisRS)	hisS	350	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_011281744.1_479	WP_001280776	0.9904761904761905	0.3942307692307692	4.3852e-23	P0AA25	Thioredoxin-1 (Trx-1)	trxA	105	0.02	0.0	0	o
lcl|NC_007205.1_prot_WP_011281745.1_480	WP_000584546	0.9928909952606635	0.24343675417661098	3.34401e-41	P08192	Bifunctional protein FolC [Includes: Folylpolyglutamate synthase (EC 6.3.2.17) (Folylpoly-gamma-glutamate synthetase) (FPGS) (Tetrahydrofolylpolyglutamate synthase) (Tetrahydrofolate synthase); Dihydrofolate synthase (EC 6.3.2.12)]	folC	422	0.03	0.02	0	o
lcl|NC_007205.1_prot_WP_011281746.1_481	WP_000118404	0.919093851132686	0.4225352112676056	6.64576e-79	P0A9Q5	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 6.4.1.2)	accD	309	0.75	0.0	0	o
lcl|NC_007205.1_prot_WP_011281747.1_482	WP_000443067	0.7886792452830189	0.2727272727272727	6.87158e-26	P0A877	Tryptophan synthase alpha chain (EC 4.2.1.20)	trpA	265	0.02	0.0	0	o
lcl|NC_007205.1_prot_WP_011281748.1_485	WP_000176270	0.7782608695652173	0.3854748603351955	2.15312e-29	P08244	Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23) (OMP decarboxylase) (OMPDCase) (OMPdecase)	pyrF	230	0.01	0.0	0	o
lcl|NC_007205.1_prot_WP_011281749.1_489	WP_001296814	0.1425339366515837	0.2857142857142857	7.60986	P0AFV2	Putative magnesium transporter YhiD	yhiD	442	0.62	0.03	0	o
lcl|NC_007205.1_prot_WP_011281750.1_490	WP_000531594	0.9689922480620154	0.292	1.5689e-28	P69874	Spermidine/putrescine import ATP-binding protein PotA (EC 3.6.3.31)	potA	258	0.64	0.42	0	o
lcl|NC_007205.1_prot_WP_011281751.1_491	WP_001295219	0.4896907216494845	0.23157894736842105	4.76541	P37646	Cyclic di-GMP phosphodiesterase YhjH (EC 3.1.4.52)	yhjH	194	19.79	19.75	1	i7-24o
lcl|NC_007205.1_prot_WP_011281752.1_492	WP_001295557	0.9845201238390093	0.36477987421383645	5.50416e-70	P45395	Arabinose 5-phosphate isomerase KdsD (API) (L-API) (EC 5.3.1.13)	kdsD	323	0.28	0.15	0	o
lcl|NC_007205.1_prot_WP_011281754.1_494	WP_001136554	0.7515527950310559	0.2066115702479339	2.69772e-10	P75822	Uncharacterized protein YbjT	ybjT	322	0.43	0.0	0	o
lcl|NC_007205.1_prot_WP_011281756.1_497	WP_001301395	0.9690721649484536	0.31648936170212766	3.92063e-59	P42588	Putrescine aminotransferase (EC 2.6.1.82) (Putrescine--2-oxoglutaric acid transaminase) (PAT) (PATase)	patA	388	0.23	0.02	0	o
lcl|NC_007205.1_prot_WP_011281757.1_498	WP_001281825	0.9902912621359223	0.3333333333333333	3.82789e-42	P06960	Ornithine carbamoyltransferase chain F (EC 2.1.3.3) (OTCase-2)	argF	309	0.06	0.0	0	o
lcl|NC_007205.1_prot_WP_011281759.1_500	WP_000011603	0.967479674796748	0.35714285714285715	6.81824e-45	P04951	3-deoxy-manno-octulosonate cytidylyltransferase (EC 2.7.7.38) (CMP-2-keto-3-deoxyoctulosonic acid synthase) (CKS) (CMP-KDO synthase)	kdsB	246	0.01	0.01	0	o
lcl|NC_007205.1_prot_WP_011281760.1_501	WP_000200120	0.9746376811594203	0.29739776951672864	8.21743e-28	P0A9J8	P-protein [Includes: Chorismate mutase (CM) (EC 5.4.99.5); Prephenate dehydratase (PDT) (EC 4.2.1.51)]	pheA	276	0.07	0.0	0	o
lcl|NC_007205.1_prot_WP_011281761.1_502	WP_000122013	0.644524236983842	0.362116991643454	7.92671e-79	P06710	DNA polymerase III subunit tau (EC 2.7.7.7) (DNA polymerase III subunit gamma)	dnaX	557	0.01	0.01	0	o
lcl|NC_007205.1_prot_WP_011281762.1_505	WP_000084131	0.9794801641586868	0.5670391061452514	0.0	P37330	Malate synthase G (MSG) (EC 2.3.3.9)	glcB	731	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_011281763.1_506	WP_000055741	0.8505434782608695	0.4472843450479233	1.03915e-94	P0ABD5	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha (ACCase subunit alpha) (Acetyl-CoA carboxylase carboxyltransferase subunit alpha) (EC 6.4.1.2)	accA	368	20.72	0.0	1	o349-366i
lcl|NC_007205.1_prot_WP_011281764.1_507	WP_000905789	0.9953161592505855	0.4835294117647059	0.0	P10408	Protein translocase subunit SecA	secA	854	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_011281767.1_510	WP_000990765	0.9708333333333333	0.38626609442060084	3.02009e-61	P17993	Ubiquinone biosynthesis O-methyltransferase (2-octaprenyl-6-hydroxyphenol methylase) (EC 2.1.1.222) (3-demethylubiquinone-8 3-O-methyltransferase) (EC 2.1.1.64)	ubiG	240	1.65	0.0	0	o
lcl|NC_007205.1_prot_WP_011281768.1_512	WP_000551807	0.9726775956284153	0.5393258426966292	1.16154e-135	P62620	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin) (EC 1.17.7.3) (1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase) (Protein GcpE) (Protein E)	ispG	366	0.02	0.0	0	o
lcl|NC_007205.1_prot_WP_011281769.1_513	WP_000804726	0.9831932773109243	0.4757834757834758	2.18758e-108	P0A7I0	Peptide chain release factor 1 (RF-1)	prfA	357	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_011281770.1_514	WP_000456467	0.9857142857142858	0.3115942028985507	1.23928e-50	P0ACC1	Release factor glutamine methyltransferase (RF MTase) (EC 2.1.1.297) (M.EcoKHemKP) (N5-glutamine methyltransferase PrmC) (Protein release factor methylation C) (Protein-(glutamine-N5) MTase PrmC) (Protein-glutamine N-methyltransferase PrmC)	prmC	280	0.02	0.0	0	o
lcl|NC_007205.1_prot_WP_011281772.1_516	WP_001184045	0.8796296296296297	0.29736842105263156	7.92301e-42	P0AFS9	Murein DD-endopeptidase MepM (EC 3.4.24.-) (Murein hydrolase MepM) (ORFU)	mepM	432	11.52	11.47	0	o
lcl|NC_007205.1_prot_WP_011281774.1_521	WP_000815337	0.9498269896193772	0.2204007285974499	1.16969e-21	P07003	Pyruvate dehydrogenase [ubiquinone] (EC 1.2.5.1) (Pyruvate oxidase) (POX) [Cleaved into: Alpha-peptide]	poxB	578	0.63	0.12	0	o
lcl|NC_007205.1_prot_WP_011281776.1_529	WP_001141337	0.0640495867768595	0.25806451612903225	3.60078	P55799	Serine/threonine-protein phosphatase 2 (EC 3.1.3.16)	pphB	484	16.77	0.0	1	o429-451i
lcl|NC_007205.1_prot_WP_011281777.1_532	WP_001265438	0.8461538461538461	0.3143939393939394	9.34395e-16	P09147	UDP-glucose 4-epimerase (EC 5.1.3.2) (Galactowaldenase) (UDP-galactose 4-epimerase)	galE	312	0.17	0.16	0	o
lcl|NC_007205.1_prot_WP_011281779.1_536	WP_001225124	0.24733096085409254	0.26618705035971224	0.691599	P37650	Cellulose synthase operon protein C	bcsC	562	197.05	21.7	9	i9-31o71-88i95-117o189-220i233-252o272-289i302-324o334-351i358-377o
lcl|NC_007205.1_prot_WP_011281787.1_564	WP_000043654	0.967948717948718	0.4602649006622517	3.41847e-101	P32055	GDP-L-fucose synthase (EC 1.1.1.271) (GDP-4-keto-6-deoxy-D-mannose-3,5-epimerase-4-reductase)	fcl	312	0.49	0.05	0	o
lcl|NC_007205.1_prot_WP_011281788.1_569	WP_000014036	1.0	0.5172413793103449	4.91357e-154	P0AB67	NAD(P) transhydrogenase subunit beta (EC 1.6.1.2) (Nicotinamide nucleotide transhydrogenase subunit beta) (Pyridine nucleotide transhydrogenase subunit beta)	pntB	464	179.53	42.68	8	i7-25o35-52i59-78o88-110i127-149o164-186i191-213o228-250i
lcl|NC_007205.1_prot_WP_011281790.1_572	WP_001274680	0.11282051282051282	0.45454545454545453	4.31255	P0AEX5	Probable phosphoribulokinase (PRK) (PRKase) (EC 2.7.1.19) (Phosphopentokinase)	prkB	195	0.01	0.01	0	o
lcl|NC_007205.1_prot_WP_011281791.1_574	WP_000553451	0.959349593495935	0.4067796610169492	3.33135e-59	P0ADG4	Inositol-1-monophosphatase (I-1-Pase) (IMPase) (Inositol-1-phosphatase) (EC 3.1.3.25)	suhB	246	0.04	0.0	0	o
lcl|NC_007205.1_prot_WP_011281793.1_577	WP_000359434	0.05654761904761905	0.47368421052631576	5.3611	P29745	Peptidase T (EC 3.4.11.4) (Aminotripeptidase) (Tripeptidase) (Tripeptide aminopeptidase)	pepT	336	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_011281794.1_578	WP_000111269	0.9770408163265306	0.391644908616188	1.00993e-86	P0A799	Phosphoglycerate kinase (EC 2.7.2.3)	pgk	392	0.13	0.0	0	o
lcl|NC_007205.1_prot_WP_011281795.1_579	WP_000153502	0.9940298507462687	0.43543543543543545	1.65752e-93	P0A9B2	Glyceraldehyde-3-phosphate dehydrogenase A (GAPDH-A) (EC 1.2.1.12) (NAD-dependent glyceraldehyde-3-phosphate dehydrogenase)	gapA	335	0.01	0.0	0	o
lcl|NC_007205.1_prot_WP_011281796.1_580	WP_000087280	0.9892638036809815	0.475968992248062	0.0	P33570	Transketolase 2 (TK 2) (EC 2.2.1.1)	tktB	652	2.01	0.24	0	o
lcl|NC_007205.1_prot_WP_011281798.1_585	WP_000907248	0.975103734439834	0.39574468085106385	3.49538e-59	P0A8A0	Probable transcriptional regulatory protein YebC	yebC	241	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_011281799.1_586	WP_000862592	0.5	0.25609756097560976	1.30458	P71243	Putative colanic acid biosynthesis glycosyltransferase WcaL (EC 2.4.-.-)	wcaL	164	1.25	0.0	0	o
lcl|NC_007205.1_prot_WP_011281802.1_592	WP_000097571	0.25925925925925924	0.2857142857142857	0.000725509	P45955	Uncharacterized protein YbgF	ybgF	324	16.63	16.63	1	i7-24o
lcl|NC_007205.1_prot_WP_011281804.1_594	WP_001107467	0.947452229299363	0.6067226890756302	0.0	P0AAI3	ATP-dependent zinc metalloprotease FtsH (EC 3.4.24.-) (Cell division protease FtsH)	ftsH	628	40.07	17.9	2	o4-21i100-122o
lcl|NC_007205.1_prot_WP_011281805.1_595	WP_000764731	0.7542857142857143	0.39015151515151514	3.08529e-67	P0AC13	Dihydropteroate synthase (DHPS) (EC 2.5.1.15) (Dihydropteroate pyrophosphorylase)	folP	350	10.28	0.0	0	o
lcl|NC_007205.1_prot_WP_011281806.1_596	WP_000071134	0.9593679458239278	0.4329411764705882	4.63653e-107	P31120	Phosphoglucosamine mutase (EC 5.4.2.10)	glmM	443	1.39	0.22	0	o
lcl|NC_007205.1_prot_WP_011281807.1_598	WP_000527955	0.9953488372093023	0.49065420560747663	2.85634e-147	P0A7D4	Adenylosuccinate synthetase (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase)	purA	430	0.01	0.0	0	o
lcl|NC_007205.1_prot_WP_011281809.1_600	WP_000079100	0.9877300613496932	0.37267080745341613	1.19323e-67	P33643	Ribosomal large subunit pseudouridine synthase D (EC 5.4.99.23) (23S rRNA pseudouridine(1911/1915/1917) synthase) (rRNA pseudouridylate synthase D) (rRNA-uridine isomerase D)	rluD	326	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_011281810.1_601	WP_001301412	0.5	0.2838709677419355	1.24665e-14	P45748	Threonylcarbamoyl-AMP synthase (TC-AMP synthase) (EC 2.7.7.87) (L-threonylcarbamoyladenylate synthase) (Ribosome maturation factor TsaC) (t(6)A37 threonylcarbamoyladenosine biosynthesis protein TsaC) (tRNA threonylcarbamoyladenosine biosynthesis protein TsaC)	tsaC	310	0.29	0.22	0	o
lcl|NC_007205.1_prot_WP_011281811.1_603	WP_000347217	0.993103448275862	0.3784722222222222	3.65388e-52	P22939	Farnesyl diphosphate synthase (FPP synthase) (EC 2.5.1.10) ((2E,6E)-farnesyl diphosphate synthase) (Geranyltranstransferase)	ispA	290	3.77	0.44	0	o
lcl|NC_007205.1_prot_WP_011281812.1_604	WP_000006797	0.9764521193092621	0.5064308681672026	0.0	P77488	1-deoxy-D-xylulose-5-phosphate synthase (EC 2.2.1.7) (1-deoxyxylulose-5-phosphate synthase) (DXP synthase) (DXPS)	dxs	637	1.26	0.45	0	o
lcl|NC_007205.1_prot_WP_011281813.1_611	WP_000069375	0.7632468996617813	0.25406203840472674	3.88803e-27	P23538	Phosphoenolpyruvate synthase (PEP synthase) (EC 2.7.9.2) (Pyruvate, water dikinase)	ppsA	887	0.01	0.0	0	o
lcl|NC_007205.1_prot_WP_011281814.1_612	WP_001135174	0.9675090252707581	0.3619402985074627	3.46512e-43	P30011	Nicotinate-nucleotide pyrophosphorylase [carboxylating] (EC 2.4.2.19) (Quinolinate phosphoribosyltransferase [decarboxylating]) (QAPRTase)	nadC	277	0.01	0.0	0	o
lcl|NC_007205.1_prot_WP_011281815.1_613	WP_000115290	0.8936170212765957	0.36394557823129253	1.3548e-53	P11458	Quinolinate synthase A (EC 2.5.1.72)	nadA	329	0.02	0.0	0	o
lcl|NC_007205.1_prot_WP_011281816.1_614	WP_000886062	0.8033898305084746	0.25316455696202533	8.89284e-12	P0ADE8	tRNA-modifying protein YgfZ	ygfZ	295	0.15	0.14	0	o
lcl|NC_007205.1_prot_WP_011281817.1_615	WP_001264442	0.9792626728110599	0.2541176470588235	6.48363e-37	Q46806	D-phenylhydantoinase (EC 3.5.2.-) (Hydantoin-utilizing enzyme HyuA)	hyuA	434	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_011281818.1_617	WP_000078239	0.9841521394611727	0.3687600644122383	1.1008e-134	P27550	Acetyl-coenzyme A synthetase (AcCoA synthetase) (Acs) (EC 6.2.1.1) (Acetate--CoA ligase) (Acyl-activating enzyme)	acs	631	12.09	0.0	0	o
lcl|NC_007205.1_prot_WP_011281820.1_619	WP_001124469	0.9622641509433962	0.4117647058823529	2.83773e-15	P0A9R4	2Fe-2S ferredoxin	fdx	106	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_011281821.1_620	WP_001120810	0.908284023668639	0.22149837133550487	0.160908	P27306	Soluble pyridine nucleotide transhydrogenase (STH) (EC 1.6.1.1) (NAD(P)(+) transhydrogenase [B-specific])	sthA	338	1.94	1.7	0	o
lcl|NC_007205.1_prot_WP_011281822.1_621	WP_001295515	0.9807692307692307	0.37745098039215685	1.67518e-37	Q46845	Disulfide-bond oxidoreductase YghU (EC 1.8.4.-) (GSH-dependent disulfide-bond oxidoreductase YghU) (GST N2-2) (Organic hydroperoxidase) (EC 1.11.1.-)	yghU	208	0.17	0.0	0	o
lcl|NC_007205.1_prot_WP_011281824.1_623	WP_001155227	0.6388888888888888	0.3391304347826087	3.2832e-17	P0ABS1	RNA polymerase-binding transcription factor DksA (DnaK suppressor protein)	dksA	180	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_011281827.1_626	WP_000457616	0.931924882629108	0.4282115869017632	6.94246e-111	P04152	Protein UmuC	umuC	426	0.04	0.0	0	o
lcl|NC_007205.1_prot_WP_011281828.1_628	WP_000917883	0.06349206349206349	0.6666666666666666	6.24809	P0A7Y4	Ribonuclease HI (RNase HI) (EC 3.1.26.4) (Ribonuclease H) (RNase H)	rnhA	189	0.19	0.19	0	o
lcl|NC_007205.1_prot_WP_011281832.1_632	WP_000963143	0.835509138381201	0.696875	6.68219e-171	P0A7G6	Protein RecA (Recombinase A)	recA	383	0.34	0.04	0	o
lcl|NC_007205.1_prot_WP_011281833.1_633	WP_000753946	0.46900269541778977	0.3735632183908046	3.16351e-19	P0C0V0	Periplasmic serine endoprotease DegP (EC 3.4.21.107) (Heat shock protein DegP) (Protease Do)	degP	371	18.28	18.26	1	i5-27o
lcl|NC_007205.1_prot_WP_011281834.1_634	WP_000047184	0.9775028121484814	0.4810126582278481	0.0	P00957	Alanine--tRNA ligase (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS)	alaS	889	0.01	0.0	0	o
lcl|NC_007205.1_prot_WP_011281835.1_636	WP_000934920	0.42790697674418604	0.2826086956521739	0.0184321	P0A8K1	Phosphatidylserine decarboxylase proenzyme (EC 4.1.1.65) [Cleaved into: Phosphatidylserine decarboxylase alpha chain; Phosphatidylserine decarboxylase beta chain]	psd	215	29.39	29.38	1	i13-47o
lcl|NC_007205.1_prot_WP_011281838.1_642	WP_000138270	0.9846449136276392	0.5029239766081871	0.0	P04079	GMP synthase [glutamine-hydrolyzing] (EC 6.3.5.2) (GMP synthetase) (GMPS) (Glutamine amidotransferase)	guaA	521	2.11	0.03	0	o
lcl|NC_007205.1_prot_WP_011281839.1_643	WP_001237796	0.8705035971223022	0.4049586776859504	5.95325e-25	P0AC81	Lactoylglutathione lyase (EC 4.4.1.5) (Aldoketomutase) (Glyoxalase I) (Glx I) (Ketone-aldehyde mutase) (Methylglyoxalase) (S-D-lactoylglutathione methylglyoxal lyase)	gloA	139	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_011281840.1_644	WP_000805497	0.9610894941634242	0.3319838056680162	2.24578e-44	P31057	3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11) (Ketopantoate hydroxymethyltransferase) (KPHMT)	panB	257	0.04	0.03	0	o
lcl|NC_007205.1_prot_WP_011281843.1_648	WP_000803813	0.7827380952380952	0.3155893536121673	7.77389e-24	P22729	High-affinity branched-chain amino acid transport system permease protein LivM (LIV-I protein M)	livM	336	193.25	33.99	8	o20-42i61-83o93-115i122-141o174-193i225-247o257-279i292-314o
lcl|NC_007205.1_prot_WP_011281844.1_649	WP_000996005	0.9833333333333333	0.3050847457627119	9.04793e-32	P31134	Putrescine transport ATP-binding protein PotG	potG	240	0.03	0.02	0	o
lcl|NC_007205.1_prot_WP_011281845.1_650	WP_000416891	1.0	0.39148936170212767	4.17405e-59	P22731	High-affinity branched-chain amino acid transport ATP-binding protein LivF (LIV-I protein F)	livF	235	0.02	0.0	0	o
lcl|NC_007205.1_prot_WP_011281848.1_653	WP_000687112	0.9245283018867925	0.3877551020408163	2.08723e-59	P75746	UPF0271 protein YbgL	ybgL	265	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_011281849.1_654	WP_001188343	0.5877192982456141	0.3358208955223881	1.54837e-24	P0AAV4	Uncharacterized protein YbgJ	ybgJ	228	0.68	0.0	0	o
lcl|NC_007205.1_prot_WP_011281850.1_655	WP_000912724	0.9779179810725552	0.3032258064516129	2.41481e-44	P75745	Uncharacterized protein YbgK	ybgK	317	0.01	0.01	0	o
lcl|NC_007205.1_prot_WP_011281852.1_657	WP_000068701	0.9646739130434783	0.352112676056338	1.97834e-57	P27248	Aminomethyltransferase (EC 2.1.2.10) (Glycine cleavage system T protein)	gcvT	368	0.0	0.0	0	o
